post_id,title,category,score,num_comments,author,collected_at
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,77,42,1659447091,2026-04-09 04:37:47
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,86,29,pruz,2026-04-09 04:37:47
47654629,The Harvard Library Passport,sports,39,15,fi-le,2026-04-09 04:37:47
47672778,Breaking the console: a brief history of video game security,sports,94,26,sprado,2026-04-09 04:37:47
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,162,akyuu,2026-04-09 04:37:47
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,305,191,keepamovin,2026-04-09 04:37:47
47637377,LÖVE: 2D Game Framework for Lua,sports,414,215,cl3misch,2026-04-09 04:37:47
47691869,Façade (2005 Video Game),sports,5,0,jjmarr,2026-04-09 04:37:47
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 04:37:47
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 04:37:47
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,147,pseudolus,2026-04-09 04:37:47
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09 04:37:47
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,9,naorz,2026-04-09 04:37:47
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-09 04:37:47
47641615,Sopwith – 1984 Game (2000),sports,99,42,elvis70,2026-04-09 04:37:47
47622717,Study investigates how mass distribution of baseball bat affects performance,science,22,17,Magi604,2026-04-09 04:37:47
47627217,Running out of disk space in production,science,218,121,romes,2026-04-09 04:37:47
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09 04:37:47
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 04:37:47
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 04:37:47
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,55,0,tosh,2026-04-09 04:37:47
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,65,salt4034,2026-04-09 04:37:47
47648404,My Google Workspace account suspension,science,369,220,zenincognito,2026-04-09 04:37:47
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-09 04:37:47
47696562,Show HN: Is Hormuz open yet?,entertainment,180,60,anonfunction,2026-04-09 04:37:47
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,73,101,latchkey,2026-04-09 04:37:47
47696760,"Show HN: Tired of logic in useEffect, I built a class-based React state manager",entertainment,6,4,thalesfp,2026-04-09 04:37:47
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,73,34,DamnInteresting,2026-04-09 04:37:47
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,53,7,rvitorper,2026-04-09 04:37:47
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,38,19,vkatluri,2026-04-09 04:37:47
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,99,42,indraneelpatil,2026-04-09 04:37:47
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,44,6,intofarlands,2026-04-09 04:37:47
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,8,2,super_ar,2026-04-09 04:37:47
47695616,YouTube starts showing 90-second unskippable ads to TV viewers,entertainment,19,10,Brajeshwar,2026-04-09 04:37:47
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,774,232,sam-bee,2026-04-09 04:37:47
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,280,61,frasermarlow,2026-04-09 04:37:47
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,222,27,MediaSquirrel,2026-04-09 04:37:47
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,160,31,intofarlands,2026-04-09 04:37:47
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,99,17,Sean-Der,2026-04-09 04:37:47
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,462,196,MattHart88,2026-04-09 04:37:47
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,113,31,noone_youknow,2026-04-09 04:37:47
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,244,200,Zm44,2026-04-09 04:37:47
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,26,12,ashish004,2026-04-09 04:37:47
47637828,Show HN: Tusk for macOS and Gnome,entertainment,120,46,factorialboy,2026-04-09 04:37:47
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,65,12,4RH1T3CT0R,2026-04-09 04:37:47
47660853,Book review: There Is No Antimemetics Division,entertainment,278,225,ibobev,2026-04-09 04:37:47
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,94,40,1659447091,2026-04-09 04:37:47
